===SWEEPS===
model,trial,seed,k,ARI,AMI,NMI,RI,Silhouette,Inertia
ssl_pretrain,10,51,60,0.0765529748736755,0.20762339317338901,0.20903241593862948,0.8956700080408273,-0.021334780380129814,397599.28125
ssl_pretrain,10,51,70,0.04436618507646415,0.16535019639129903,0.16706987960018554,0.8417943159816013,-0.04201420769095421,402087.125
ssl_pretrain,10,51,80,0.06075029763950331,0.19701401221415418,0.1986764640574858,0.901197147814706,-0.032971348613500595,397570.875
ssl_pretrain,10,51,90,0.09975009174101578,0.24580457799392727,0.24770074004244036,0.9199471968091726,-0.025907229632139206,388867.125
ssl_pretrain,10,51,100,0.1049459662593335,0.2605237062231452,0.2628314484486044,0.9264530206244666,0.008634434081614017,383757.25
ssl_pretrain,10,51,110,0.10129972567190854,0.2623808907196328,0.2650893717705902,0.9326056217541452,0.011372576467692852,379703.8125
ssl_pretrain,10,51,120,0.14539954544817482,0.29741669766791196,0.30037056317422395,0.9465302607638117,-0.003453692654147744,375525.46875
ssl_pretrain,10,51,130,0.11169714715061585,0.27565644413986845,0.27905119986303983,0.93909175033013,0.007978783920407295,375232.15625
ssl_pretrain,10,51,140,0.15233027239417204,0.29894982690449307,0.30262972598303733,0.9511395416312931,0.013579201884567738,372285.28125
ssl_pretrain,10,51,150,0.13898926731961614,0.29829348718177706,0.30245986362142074,0.9482163457466402,0.008563232608139515,370935.0
ssl_pretrain,10,51,160,0.15140630374028988,0.3037723658004481,0.30821332319340916,0.9514029153662071,0.004555094987154007,369711.25
ssl_pretrain,10,51,170,0.14969273799553812,0.30304191219395815,0.3077503598133703,0.9525406801281855,0.009187624789774418,369446.71875
ssl_pretrain,10,51,180,0.10599946520508795,0.3110116725961983,0.31608797553041423,0.9492783944538291,-0.007479173131287098,367743.96875
ssl_pretrain,10,51,190,0.12242366799958326,0.3100426103588333,0.31550599508872745,0.9514996601273318,0.003479887032881379,367286.5625
ssl_pretrain,10,51,200,0.1300715757913708,0.31431198905595975,0.3200347353062951,0.9579193918933904,0.009231621399521828,365351.53125
ssl_pretrain,11,52,10,0.056478572860881725,0.17107456058397458,0.17153520238506814,0.8446724387323068,-0.0023392331786453724,406772.15625
ssl_pretrain,11,52,20,0.061234601801728475,0.21479440500768526,0.21550035447058358,0.8430671197949016,-0.016254639253020287,401968.40625
ssl_pretrain,11,52,30,0.08411143902952466,0.21384982864552887,0.21483484981321335,0.8991250487477611,0.004340078216046095,395656.34375
ssl_pretrain,11,52,40,0.08011780008145052,0.2213869809863518,0.22249011632138893,0.8911913292966877,-0.001482263207435608,398276.65625
ssl_pretrain,11,52,50,0.07526652905879211,0.21654788191013857,0.21773627755154115,0.883130871026437,-0.03962237387895584,397963.15625
ssl_pretrain,11,52,60,0.10109180533372325,0.2376499533390545,0.23899504100011812,0.9090500179410238,0.005414862185716629,392497.59375
ssl_pretrain,11,52,70,0.08550680220602139,0.22308606416302942,0.22475842329032328,0.9119206542377538,-0.0018082063179463148,391086.03125
